,comment,type,sentiment
31,আজ আমার জন্মদিন কেউ আমায় উইশ করবেন?,emotional,negative
32,"একটা শিল্পী তার কণ্ঠের মাধ্যমে পুরো পৃথিবী ভ্রমণ করে, আর শিল্পী তখনি স্বার্থক যখন তার গান শ্রোতার অন্তর ছুঁয়ে যায়। ২০১৬ তে দেশ ছাড়ছি আজ ও দেশে যাওয়া হলোনা, ৮ হাজার কিলোমিটার দূরে ফ্রান্সের ছোট কোন এক গ্রাম থেকে সাইফ ভাইয়ের গান গুলা শুনি, আমি কান্না করিনা কিন্তু ভিতর মানেনা। মনের ভিতর আজ ১০ বছর ধরে তুফান চলছে।",emotional,negative
33,"ভাইয়া জীবন নিয়ে গান করেন ,মানুষের জীবন দুঃখ গানে প্রকাশ করেন বিশ্বাস করেন আপনার প্রতিটি গানই শুনে যে কেউ চোখের পানি ধরে রাখতে পারবেন না হয়তো আপনরা না থাকলে দুঃখ গুলোও মূল্যহীন হয়ে যেতো",emotional,positive
34,bi.,informative,neutral
35,আসলেই ওই শহর আর আমার নেই,emotional,negative
36,প্রতি টা প্রবাসী বুঝতে পারে এই গানের কথা গুলোর মানে,question,neutral
37,ki bolbo ar just wow,emotional,positive
38,gaan ta relate korte parchi- ami ekjon probasi-saudi,emotional,neutral
39,big fan vai,emotional,positive
40,saif zohan,informative,neutral
41,"2025 সে কমেন্ট করে গেলাম, হয়তো আবার বহু বছর পরে মনে পড়বে এই গানটি",emotional,positive
42,অনেক ভালো লাগছে ভাইয়া,opinion,positive
43,গানটা আমি বহুবার শুনেছি গানটার অর্থ আমার সাথে মিলে যায়,opinion,positive
44,তুমি গল্প হয়েও&quot; গল্প &quot;নাতুমি বাস্তব হয়েও&quot; কল্পনা&quot;,emotional,neutral
45,aonek sondor,informative,neutral
46,"কি গান গাইলি ভাই সাইফ জোহান,না চাইতেও দুটি চোখ বেয়ে পানি গড়িয়ে পরে!",emotional,positive
47,"মায়ের গর্ভে থাকতেই বাবা মাকে ছেড়ে চলে যায়, আমার বয়স যখন মাত্র ৬ বছর তখন মা আর একটা বিয়ে করে ফেলে বাবা মা কেউ কোনো দিন আর খোজ খবর নিলো না, তার পর মামারা এতিমখানায় রাখলো, বড় হওয়াটা এতিমখানায়, সেই যে বাড়ি ছারলাম কখনো আর ফিরে যাওয়া হলো না এখন অচেনা এক শহরে থাকি, আমার আপন বলতে আমি নিজেই",emotional,negative
48,"16 বছর বয়সে ১৯৯৫ বাড়ি থেকে বের হয়েছিলাম, আর ফিরা হলো না। এর মাঝে কত্তো শহর, দেশ পরিবর্তন হলো কিন্তু স্থাই আবাস এখনো গড়ে উঠলো না!",emotional,negative
49,"চেনা গলি ছাড়তে যে আজ, লাগছে ভীষণ ভয়.",emotional,negative
50,প্রবাসিরা গানটার অর্থ বুঝবে,informative,neutral
51,চেনা শহরে বন্ধুগুলো এক সময় অচেনা হয়ে যায়,emotional,negative
52,akber bair hoilee er barii feraa hoi naa. 15-8-23 er poreee are or our fera hoi ni nijerr barii.chutii te gelee oo kmeon jani lageee,emotional,negative
53,"এই শহর আর আমার নয়,,,,,,,,।",emotional,negative
54,কি গান‌ তৈরি করেন‌ ভাই কলিজা ছেদ‌ করে‌,question,neutral
55,thanks ērakamēra ēkaṭā sundara gān upahāra dēẏāra janno,emotional,positive
56,আমায় লিখে ফেললেন,emotional,neutral
57,২০১৩..... লিখে গেলাম আজ নোটিফিকেশন আসলে আবার এসে শুনবো এই গান শুনলে কোমায় যেতে হয়।,emotional,positive
58,ganta shune nijer 2019 er kotha mone pore gelo nijer জন্মস্থান chere chole aslam tkhn emn oi onuvuti hoichilo,emotional,negative
59,আমার মত কিছু মানুষের জন্য এটা না বলতে পারা মনের কিছু কষ্টের বহিঃপ্রকাশ,emotional,negative
60,my favorite,opinion,positive
61,আমারও ভাবতে খুব কষ্ট হয়। নাড়ী পোতা আমার নিজের শহর ছেড়ে হয়তো আজীবনের জন্য চলে আসতে হবে। হয়তো এটাই আমার নিয়তি,emotional,negative
62,rk.........no.1 only for your history...... the love game...... but waiting for you sweety i still love,emotional,positive
63,eii shorer manus asle amder naaa...apon kore rakar poreo dore cole jaiiiiiiiiii,emotional,negative
64,ওই গানটি কোনো প্রবাসী গেয়েছেন,informative,neutral
65,দেশ ছেরে আসার আগের দিন টার কথা খুব মনে পরে গেল ভাই ভাই আপনার গানগুলা শুনলে পুরোনো দিনের কথা মনে পরে যায় মন থেকে দোয়া রইলো আপনার জন্য,emotional,positive
66,অসাধারণ ছিল,opinion,positive
67,তোমায় হারিয়ে আজ এই গান শুনতে হয় প্রিয়আমায় ছাড়া ভালো থাকতে গিয়েছোভালো থেকো তুমি,emotional,negative
68,অনেক ভালো হয়েছে,opinion,positive
69,my favourite singer saif zohan,opinion,positive
70,"_তুমি যদি আমার জায়গায় থাকতে, তাহলে বুঝতে আমার কেমন কষ্ট হয়!",emotional,negative
71,2018 থেকে এই শহর আমার আর নয়,emotional,negative
72,ভাই আর যাদের ১৭ ১৮ বয়সে ফ্যামিলির দায়িত্ব মাথায় আসে তারা তো আমার মতো ১৭ ১৮ তেই মরে যায়,emotional,negative
73,প্রিয় মানুষের শেয়ারে আবার শুনতে আসলাম।,emotional,positive
74,এ শহর আমার আর নয়,emotional,negative
75,arokom gan balo lage bai,emotional,positive
76,এই শহর আমার আর নয়,emotional,negative
77,এই শহর আমার আর নয়।,emotional,negative
78,তোমাকে পেয়ে গেলে হয়তো বিষন্নতায় ভুগতাম নাআর*এত সুন্দর গানও হয়তো শোনা হতো নাসৃতি রেখে গেলাম★★★যুগের পর যুগ গানটি মানুষ যখন শুনতে আসবে লাইক/কমেন্ট এর নোটিফিকেশন পেয়ে আবার শুনতে আসবো,emotional,positive
79,অসাধারণ,opinion,positive
80,আহারে গান এই শহর আমার আর নয়,emotional,negative
81,kichhu manush more jaay 25 e keu jodi ektu bujhto amake,informative,neutral
82,কিছু মানুষ মরে যায় ২৫ শে। এইটা আপনার লাখে ১টা,informative,neutral
83,saif zohanthis is not a name. it’s emotion,emotional,neutral
84,এই গানটা wiw হবে অনেক গানটা সেই ভাই সেই,opinion,positive
85,big fan vaiya,emotional,positive
86,গান টা ২৫ না হয়ে ১৭ ১৮ হলে ভালো হতো,opinion,negative
87,ডাউনলোড করে রাখলাম,informative,neutral
88,আমাদের বাস্তব চিত্র তুলে ধরার জন্য ধন্যবাদ,emotional,positive
89,ভাই আপনি এ গান নাকি অন্য কিছু বলতেছেন। আমার চোখে পানি চলে আসে।,emotional,positive
90,এই শহর আমার জন্য নয় বাস্তবে মিলে গেছে কমেন্ট না রেখে পারলাম না,emotional,negative
91,"একটা কমেন্ট করে গেলাম। আমার কমেন্টে যে লাইক বা কমেন্ট করবে, আমার নোটিফিকেশন আসলে আবার গান টা শুনবো।",emotional,neutral
92,এই শহর আমার আর নয়,emotional,negative
93,আহারে,informative,neutral
94,এক কথায় অসাধারণ। গানের ভিতর কথাগুলো ছিল বাস্তবতা।,opinion,positive
95,কিছু মানুষ মরে যায় ১৯ শে সত্যি এই শহর আর আমার থাকলো না,emotional,negative
96,ভাই হেরে যাওয়া মানুষ দের নিয়ে কিছু লেখা যায় না?,emotional,negative
97,kisu manush more jai 25 is the best,opinion,positive
98,good song^-^ :),opinion,positive
99,ঘর বানাতে ঘর ছাড়া লাগে। এই কথাটার এক অন্যতম প্রেজেন্টেশন হলো এই গান টা।,emotional,positive
100,কলিজায় লাগে,opinion,neutral
101,এই শহর আমার আর নয়,emotional,negative
102,"আজ আমার flight সবাই আমার জন্য দোয়া করবেন।দেশ ছারার মুহূর্তটা এতো বেদনা দায়ক জানলে হয়তো এই সিদ্ধান্ত নিতাম না , এ শহর আমার আর নই",emotional,negative
103,vai apnar song gula onek valo lage amar kace,opinion,positive
104,ay gantah jonpriotah pabe,emotional,neutral
105,amar shohor amar theke anek dure kalo adare hariye geche aj ami shudu also known as,emotional,negative
106,ঘর বানাতে ঘর ছাড়তে হয়আপন মানুষকে ভালো রাখতে তাদের ছাড়তে হয়,opinion,neutral
107,লাইক এর চাইতে কমেন্ট বেশি ৮-১০ গুন,opinion,neutral
108,সেই তোমাকেই খুঁজে ফিরে আমার মন এখনো যদিও তুমি অন্য কারো।,emotional,negative
109,"i wouldn&#39;t say that, i would say dhaka outgrow us. it was inevitable.",opinion,neutral
110,ভাই মনের মত একটা কথা কইসেন,emotional,neutral
111,২০২২ সালে এর ৩ মার্চ নিজের শহর ছেড়ে ছিলাম। আজ ও ফেরা হয়নি। খুব মনে পড়ে কিন্তু পিছুটান কোনো ভাবেই ছাড়ছে না আমাকে,emotional,negative
112,gan gula onik sundor,emotional,positive
113,nex song piliss,informative,neutral
114,"my friends are calling me as an emotional pig. i don’t know why! but after listening this song, i don’t know why i can&#39;t hold my tears. thanks a lot for this beautiful sounds.",emotional,negative
115,ek ekta line bukh ta vari kre chokh vijay dey,emotional,negative
116,"একি রকম ট্রেক,একি রকম কম্পোজ,একি রকম সুর। ব্যতিক্রম কিছু দরকার।পুরাতন হয়ে যাচ্ছেন। তবে লাইন গুলো ভিতরে লাগছে।শুভ কামনা রইলো।",Opinion,Negative
117,কিছু মানুস মরে ২৫ শে আমিও মনে হয় মরে গেছি,emotional,negative
118,গানটার সাথে জীবন টা মিলে গেল।,emotional,positive
119,vai apni genius,emotional,positive
120,বাস্তব জীবন অনেক কঠিন টাকা কামানোর জন বা ফেমেলি ছেড়ে যেত হয় অরেক দেশে।,emotional,negative
121,কিছু মানুষ মরে যায় ১৮ তে 0:05,emotional,negative
122,আপনার গানগুলো বারবার শৈশবে ফিরে নিয়ে যায়।,emotional,positive
123,"বাস্তবতা রে ভাই নিজের শহরই নিজের অচেনা,",emotional,negative
124,সাইফ ভাই আপনার হাজারো গানের শ্রেষ্ঠ গান এটাই হবে কিছু মানুষ মরে যায় ২৫ শে,opinion,positive
125,apnar kontu sai,informative,neutral
126,ভাই আমি একজন কুয়েত প্রবাসী কিছু মানুষ মরে যায় ২৫এই গানটা আমি শুনি না বললেও দিনে 10 থেকে 12 বার শুনি,opinion,positive
127,"after tanveer evan, you are my favourite singer in bangladesh",opinion,positive
128,যখন ভার্সিটির জন্য এলাকা ছারতে হয়েছিল তখনকার কথার সাথে গান যেন মিলে গেল মনে হচ্ছে আমার দৃশ্যকে কল্পনা করে বানানো এ যেন আরেক আমি,emotional,positive
129,এই শিল্পী টা কে হয় দেশ থেকে বিতারোতো করা হোক নাহলে গুম করে রাখা হোক,opinion,negative
130,apnar gan gulo sotti onk sundor sunle mon vore jai.,emotional,positive
131,aitai akjon puresher bastobota,emotional,negative
132,"প্রতিটি লাইনই একেকটা স্মৃতির আকাশ,খুব ভালো গেয়েছেন ভাই",opinion,positive
133,ভাই সেরা,opinion,positive
134,ajke 8bocor gor charce...akn o jaite mn saina...krn apn luk gular ktar boye,emotional,negative
135,"নদীর ধারে বালুর ঢিবে, খালি পায়ে দৌড়,ছোট্ট মনে কত স্বপ্ন, আকাশ ছুঁতে চাওয়ায় ভরপুর।ভাঙা সাইকেল, রঙিন ঘুড়ি, মাঠে হাসির রোল,আজও কানে বাজে সেই ডাক—&quot;চল খেলি, চল খেলি চল!&quot;শৈশবের দিন, ফিরে আয়,নির্দোষ হাসি, নির্ভেজাল আকাশে ভেসে যায়।বন্ধুর হাত ধরা, চোখে আলো, মনটা হালকা হাওয়া,সেই দিনগুলো স্বপ্ন হয়ে আজও জাগায় কাওগাওয়া।বইয়ের ব্যাগ ছুঁড়ে ফেলে, স্কুল ছুটির গান,গলির ভেতর দৌড় প্রতিযোগিতা, গোধূলি রঙিন প্রাণ।মায়ের ডাকে ফেরা হলো, ঝগড়া ভুলে সব,অন্ধকারে এক চাঁদ জ্বলে, শৈশবের ওই রব।শৈশবের দিন, ফিরে আয়,নির্দোষ হাসি, নির্ভেজাল আকাশে ভেসে যায়।বন্ধুর হাত ধরা, চোখে আলো, মনটা হালকা হাওয়া,সেই দিনগুলো স্বপ্ন হয়ে আজও জাগায় কাওগাওয়া।কত কষ্টে আজ বাঁচি আমি,তবু চোখ বন্ধ করলে—সেই মাঠে দাঁড়াই আমি।কত হারানো খেলনা, কত মিষ্টি ঝগড়া,মনে গেঁথে আছে—শৈশবই সত্যি সোনার ধরা।এটা কথা দিয়া আপনি একটা গান সুর করেন ভাইয়া পিলিজ",emotional,positive
136,হঠাৎ করেই জানতে পেলাম এইশহর আমার আর নয়_______,emotional,negative
137,ekebare noble er voice,emotional,positive
138,এটা কি গলা,question,neutral
139,my favorite singer saif zohan and tanveer evan,opinion,positive
140,"নতুন জবে জয়েন করছি ৩ মাস, বাসা ছেড়ে ব্যাচেলর থাকা এই প্রথম। আম্মুকে প্রায় মিস করি। আম্মু কল দিলে কান্নাকাটি করে। আজ এই গান শুনে বুকের মধ্যে কেপে উঠছে আর বাসের মধ্যেই চোখ থেকে পানি পরছে।",emotional,negative
141,.,informative,neutral
142,"ভাই কি আপনার গান গুলো আবিষ্কার করার সময় এক প্রকার নিশ্চিত করেই বসেন যে, প্রতিটি শব্দ যেন আপনার অডিয়েন্স এর বুকে তীরে মত করে বিদবে এবং পাথর হয়ে যাওয়া মানুষ গুলোরও চোখে অশ্রু ঝড়তে বাধ্য হবে another masterpiece",emotional,positive
143,"এক কথায় অসাধারন সুর এবং হৃদয় ছুয়ে যাওয়ার মতো গান ,খুব ভালো গেয়েছেন ভাই . আরো বেশি বেশি গান চাই আপনার কন্ঠে ।",emotional,positive
144,jara amr moto probase jibon ase tader jonno,opinion,positive
145,"mehedi hasan.................04.09.2025......................kosto.......................gibon.......................kosto......................maya.maya.maya, ra.",emotional,neutral
146,hridoye gethe gelo gaanta,emotional,neutral
147,amio aj,informative,neutral
148,voice ta ektu onno rkm dewa jayna bai soft lofi type ei voice ta tmn bhalo lagena,opinion,negative
149,এই শহর আর আমার নয়,emotional,negative
150,কিছু মানুষ মরে যায় পঁচিশ এ হৃদয় ছুয়ে গেল,emotional,negative
151,একটা শহরে অনেক বছর থেকে সেই শহর ছেড়ে অন্য শহরে যাওয়াটা খুব কষ্টের।,emotional,negative
152,আপনার সব লিরিক্স সিমিলার,opinion,negative
153,এই শহর আমার আর নয়,emotional,negative
154,ধন্যবাদ ভাইয়া এতো সুন্দর গান উপহার দেওয়ার জন্য,emotional,positive
155,kanna dhora rakhta parlam na,emotional,negative
156,এই শহর আমার আর নয়,emotional,negative
157,arokom tanda gan banai an,emotional,positive
158,my favourite singer saif zohan,opinion,positive
159,my favourite singer,opinion,positive
160,আপনার প্রত্যেকটা গানের প্রত্যেকটা লাইন ভাই কলিজায় গিয়া লাগে respect brother,emotional,positive
161,যারা জানেনা তাঁদের বলে রাখি এটা কিন্তু নতুন গান নয়। এটা সাইফ ভাইয়ের আরো ৫ বছর আগের গান। বিস্বাস না হলে উনার আইডিতে ঢুকে চেক করে আমার কমেন্টে লাইক দিবেন,informative,neutral
162,সেরা সেরা!,emotional,positive
163,"আমি শুধু লেখকের মনের অবস্থা নিয়ে ভাবতেছি যে, এত কষ্টের গান প্রকাশ করতেছে একের পর এক । জানিনা বিদেশে চলে গেলে আর কোন দিন দেশে ফিরতে পারবো কিনা ।",emotional,negative
164,"আজ ২৭ দিন আমি প্রভাবে। গানটি শুনে নিজেকে আর সামলাতে পারিনি অঝরে কেঁদেছি খুব প্রিয় শহর, প্রিয় মানুষগুলো অনেক মিস করছি",emotional,negative
165,"বেশ কয়েকমাস হলো নিজের শহর, নিজের এলাকা, নিজের প্রিয় রুম ছেড়ে ঢাকায় পরে আছি। গানট্ রোজ একবার না শুনলে কেমন জানি লাগে। আবার মানুষ মরে যায় ২৫ শে, আহারে শৈশব। গান গুলো মোস্ট ফেভারিট লিস্টে থাকবেই।",emotional,positive
166,আহা শৈশব,emotional,positive
167,"এক কথায় গানটা অনবদ্য সৃষ্টি...গানের গভীরতা ভীষণ। ছোটবেলা থেকে শৈশব কৈশোর কাটানো নিজের এলাকা হঠাৎ ছাড়তে যে কি কষ্ট, তার বাস্তব চিত্র এই গানটিতে ফুটে উঠেছে।",emotional,positive
168,এই গানটা শুনার পর খুব ইচ্ছে করছে চিৎকার করে বলি এই শহর আর আমার জন্য নয়,emotional,negative
169,"একজন মানুষের পক্ষে কিভাবে সম্ভব এতো deep lyrics লেখা ? সেইটা হয়তো আপনাকে না দেখলে আপনার গান না শুনলে কখনো বুঝতে পারতাম না ভাইয়া , আপনার জন্য এক আকাশ পরিমাণ ভালোবাসা আর শুভকামনা রইলো ভাইয়া , আপনি অনেক দূর এগিয়ে যান আর আমাদের এইভাবেই বার বার শৈশবে ফিরিয়ে নিয়ে যান এইটা ই কামনা করি",emotional,positive
170,nex song kobe asbe????,question,neutral
171,ভাই ওই গান টা আবার লেখা হোক ২৫ এর জায়গায় ১৮ দেওয়া হোক..!,opinion,neutral
172,গানটা শুনতে এসে স্মৃতি রেখে গেলাম কেউ কমেন্টে লাইক দিলে আবার শুনবো,emotional,positive
173,akdin amakeo ai shohor charte hobe..,opinion,neutral
174,very good,opinion,positive
175,অনেক সুন্দর গান,opinion,positive
176,ওই শহর আমার আর নয়,emotional,negative
177,কিছু মানুষ মরে যায় ২৫ শে,informative,neutral
178,"বিদেশে না আসলে বুঝতে পারতাম না,,, যে নিজের এলাকায় কে কত মিস করি",emotional,negative
179,মিস করছি সেই দিনগুলো,emotional,negative
180,গানটা খুবই ভালো লাগে,opinion,positive
181,"sundor gan,2019 sal theke bari cere aci",opinion,positive
182,nice work bro.,opinion,positive
183,"কিছু মানুষ মরে যায় ২৫ শে, ওরে নীল দরিয়া আহারে শৈশব ,",emotional,negative
184,(,,
185,"mashallah sonddor hoiche,,, are or our eto jiboner sathe milaiya kemne lekho?",question,neutral
186,wow..just amazing,emotional,positive
187,কিছু মানুষ মরে যায় পঁচিশে,emotional,negative
188,"দীর্ঘদিন ছাত্ররাজনীতি করেছি,ছাত্রলীগ করার অপরাধে নিজ শহর থেকে আজ ১ বছরের উপরে দূরে আছি।অথচ এই শহর জানতো আমি কতটা স্বচ্ছ ছিলাম,কতটা অমায়িক ছিলো। রাজনীতির প্রতিহিংসার কারনে যারা আজ নিজ শহর ছাড়া তাদের জন্য&#39;ই হয়তো এগান উৎসর্গ করা।",emotional,negative
189,কিছু মানুষ মরে যায় ২৫ শে,informative,neutral
190,লকডাউনের গান,informative,neutral
191,সাইফ ভাই,emotional,neutral
192,২০২০ সালের জুলাই মাসের ৫ তারিখ আপনার ইউটিউবে মুক্তি পাওয়া গানটি ৫ বছর পর ২০২৫ এ এসেও নতুন লাগছে....,opinion,positive
193,যারা প্রিয় জিনিস গুলো ছাড়ছে তাড়াই বুঝবে,opinion,neutral
194,2:27,informative,neutral
195,2:23,informative,neutral
196,কিছু মানুষ মরে যায় ২৫ শে,informative,neutral
197,বাড়ি টা ছাড়া হয়েছিল সেই ২০১৮ যে। জানিনা ক্যারিয়ার নামক এই অধ্যায়ের উপসংহার কোথায়...!,emotional,negative
198,just shifting to dhaka from sylhet miss you sylhet,emotional,negative
199,চেনা শহরে ও একা ছাড়ে নি অথচ কত দূরে অচেনা শহরে রেখে চলে গেল বাড়ির কথা মনে পড়লো কতদিন বাড়ি যাই নাহ অসম্ভব সুন্দর গান,emotional,positive
200,মৃত্যু ছাড়া সব মিথ্যা,emotional,negative
201,নোটিফিকেশন আসলে আবার গানটা শুনতে আসব,informative,neutral
202,কিছু মানুষ মরে যায় মরে যায় ২৫ শে তারপরে মরে গিয়েও কিছুকাল বাঁচে সে।,emotional,negative
203,gan suni are or our apnake khuji,emotional,neutral
204,গানের প্রতিটা লাইন যেন বাস্তব জীবনের সাথে মিলে যায়,opinion,positive
205,হয়তো খব তারাতারি এই শহর আমাকে ও চারতে হবে,emotional,negative
206,আপনার কন্ঠটা ভালোই ভাই,opinion,positive
207,"আহা!!কত শুনেছি! সেই করোনার সময় রিলিজ হওয়া,আমি মুলত এই গান থেকেই সাইফ জোহান ভাইয়ের ভক্ত হয়ে গিয়েছিলাম।অসাধারণ,,ব্রো",emotional,positive
208,"সত্যিই সাইফ ভাইয়ের গান গুলো কলিজায় নাড়া দেয়। গানটির প্রতিটা লাইন আমাদের দৈনন্দিন জীবনের বসবাসের শহর কে মেনশন করলেও, আমার কাছে মনে হয়েছে এ গানের প্রতিটা লাইন মনের শহরকে ঘিরে লেখা।হঠাৎ করে নিজের প্রিয় মানুষের শহর থেকে যখন সে বের করে দেয়, তখন হঠাৎ করে কোন এক সময় আমরা জানতে পারি এই শহর আমার আর নয়।",emotional,positive
209,ভাই ও টিটিতে আপনার আহারে শৈশব গানটি উঠছিল মনে মনে ভাবছিলাম আপনি অ্যাওয়ার্ড টা পাবেন কিন্তু কিছু বুঝলাম না,emotional,neutral
210,আসলেই এ শহর আর আমার নয়কারণ এখন আমি একজন প্রবাসী সত্যিই saif zohan ভাই আপনার গানগুলো বাস্তবতার সাথে অনেক মিল ভালোবাসা নিবেন,emotional,negative
211,মায়ের আইডি থেকে স্মৃতি রেখে গেলাম,emotional,negative
212,"আটকে, গেছি এই চ্যানেলে।",emotional,positive
213,আমি তো মরে গেছি সেই ১৮তে..,emotional,negative
214,কিছু মানুষ মরে যায় ২৫শে গানটি কে কে একবার হলেও শুনেছেন লাইক দিয়ে জানিয়ে দিন আবার শুনতে আসবো,question,neutral
215,aj to bosor hoye gelo bari sere aslam akon basai jai to diner othithi hesebe aitai hoito jibon,emotional,negative
216,এই গানটা আমার কাছে আবেগ কারণ আমার ২০ বছর এক শহর ছেরে আসা গল্প এই গানে আছে,emotional,positive
217,voice e jadu ashe,emotional,positive
218,এই গানটা শুনার জন্য কমেন্ট রেখে গেলাম,emotional,positive
219,what a song is!!!!! bro,emotional,positive
220,"আমি কামরুল ভাইয়া,বাড়ি কুমিল্লা,গানগুলো আমার সাথে মিলে যায়,বুকে কেমন যেনো ভারি চাপ অনুভূত হয়,,",emotional,positive
221,ভাই গানটা আপনার ভয়েসের সাথে ভালো ভাবে যায় নাই। কিছু গান অন্যের জন্য ছেরে দেন। এতে আপনে শিন্পির পাশাপাশি গীতিকার সুরকার হিসেবেও জনপ্রিয় হয়ে উঠবেন। এইটা আমার নিজস্ব মতামত। ভুল বোঝাবেন না দয়াকরে। আমি আপনার সাফল্য কামনা করি এবং আমি আপনার ভক্ত ও বটে।,opinion,negative
222,ঐ শহরে আর ফিরতে চাই না কিন্তু ঐ শহরে ফিরতে হবে কারণ ঐ শহরে যে আমার মা আছে,emotional,negative
223,হৃদয় ছোঁয়ে যায় গানটা,emotional,positive
224,বলতে গিয়ে বলতে না পারা,emotional,negative
225,gusbamp,informative,neutral
226,আহা! নোটিফিকেশন পেলে আবার আসবো,emotional,positive
227,এই শহর আমার আর নয়,emotional,negative
228,সত্যি এই শহর আমার নয় সব এ বাস্তবতা,emotional,negative
229,wow,emotional,neutral
230,what a song......all song is best,opinion,positive
231,আপনি মানেই বিশেষ কিছু ভাইয়া,emotional,positive
232,প্রতিটা লাইন যে জীবনের সাথে মিলে মিশে একাকার,emotional,positive
233,সেরা ভাই সেরা।লিজেন্ডারী ম্যান,opinion,positive
234,"এই গানটা শুনে আমার পুরনো সেই এলাকার কথা মনে পড়ে যেখানে ছোট থেকে বড় হওয়া, তারপর একদিন অন্য শহরে পাড়ি জমানো সবকিছুই ছিল আমার কাছে একটা ছবি গানটা দেওয়ার জন্য ধন্যবাদ ভাই আপনাকে 3:55",emotional,positive
235,"চেনা গলি ছেডে পাড়ি দিয়েছি বহু কিলোমিটার এর পথ, বহু দেশ দূর",emotional,neutral
236,সাইফ জোহান ভাই মানেই আবার সেরাটাই,opinion,positive
237,অনেক সুন্দর,opinion,positive
238,এই গানটা আমার মন ছুয়ে দিলো,emotional,positive
239,vai sera,emotional,neutral
