clean_comment_v1,clean_comment_v2,sentiment,type
need more cinemaal videos great job bro,need cinema video great job bro,2,0
awsm,awsm,2,0
whats your name rahat really,what name rahat realli,0,0
whats your name rahat really,what name rahat realli,1,0
bro just,bro,1,0
আপনার ভিজুয়াল top notchআপনার কন্টেন্ট বাংলা youtubing এ youtube এর টপ চ্যানেল গুলোর প্রিমিয়াম স্ট্যান্ডার্ড আনলোচালিয়ে যান,ভিজুয়াল top notchআপন কন্টেন্ট বাংলা youtub youtub টপ চ্যানেল গুলোর প্রিমিয়াম স্ট্যান্ডার্ড আনলোচালিয়ে,2,0
u rock ma,u rock,2,0
u rock ma,u rock,2,0
too good editing and concept,good edit concept,2,0
cant stop laughing good job guys carry on,cant stop laugh good job guy carri,2,0
osthir er thakao osthir,osthir er thakao osthir,2,0
নতুন ভিডিও চাই,ভিডি চাই,2,0
make the cinemaal of vampire,make cinema vampir,1,0
pinic party,pinic parti,1,0
brief case niye etoki6u bolar somoy e mone ho66ilo pulp fiction er ekbar ullekh hoya video dada,brief case niy etokiu bolar somoy e mone hoilo pulp fiction er ekbar ullekh hoya video dada,1,0
কিরে ভাই নতুন ভিডিও,কিরে ভাই ভিডি,1,0
kire ep 5 koi,kire ep koi,1,0
this time you tried too hard mate,time tri hard mate,1,0
awesome video bro,awesom video bro,2,0
pinik,pinik,2,0
wicked,wick,0,0
gopro hero camera analysis was simply a masterpiece,gopro hero camera analysi simpli masterpiec,2,0
gopro hero camera analysis was simply a masterpiece,gopro hero camera analysi simpli masterpiec,2,0
seriouslly loved ur lines d bcs question paper v,seriouslli love ur line bc question paper v,2,0
hahahahahaha v khushi k ansu ari h 3,hahahahahaha v khushi k ansu ari h,2,0
rahat vhai onek din holo new kichu hocchena,rahat vhai onek din holo new kichu hocchena,1,0
অসাধারন ভাইআপনি ব্রিলিয়ান্টটেলেন্টেডবস,অসাধারন ভাইআপনি ব্রিলিয়ান্টটেলেন্টেডবস,2,0
অসাধারন ভাইআপনি ব্রিলিয়ান্টটেলেন্টেডবস,অসাধারন ভাইআপনি ব্রিলিয়ান্টটেলেন্টেডবস,2,0
amr life e dekha osthir ekta vide,amr life e dekha osthir ekta vide,2,0
the undertaker এর পার্ট গুলা জোস ছিল,undertak পার্ট গুলা জোস,2,0
totally worth the long wait d,total worth long wait,2,0
kalo bonduk all the way v,kalo bonduk way v,0,0
সিনেমাল আর নেই কেন,সিনেমাল,1,0
if this guy ever becomes another পিছলা ত্যানা প্যাঁচানো comedy that would be a really sad day talk about classy comedy 3,guy ever becom anoth পিছলা ত্যানা প্যাঁচানো comedi would realli sad day talk classi comedi,0,0
epic,epic,2,0
channel that is one of a kind love your works brother keep it up,channel one kind love work brother keep,2,0
this is more entertaining than honest trailers very nice guys keep it up you all are gifted,entertain honest trailer nice guy keep gift,2,0
ha ha ha maira lah ki dekhlam,ha ha ha maira lah ki dekhlam,2,0
পরের ভিডিও কবে আসবে,পর ভিডি আসবে,1,0
i lost it all on lsd গোলানো hesh brownie lmfao,lost lsd গোলানো hesh browni lmfao,0,0
put yo hands up d,put yo hand,1,0
put yo hands up d,put yo hand,1,0
put yo hands up d,put yo hand,1,0
ভাই চরম চরম চরম আপনার অসাধারণ টেলেন্ট,ভাই চরম চরম চরম অসাধারণ টেলেন্ট,2,0
ভাই চরম চরম চরম আপনার অসাধারণ টেলেন্ট,ভাই চরম চরম চরম অসাধারণ টেলেন্ট,2,0
just aewsome bro,aewsom bro,2,0
buttfixx more upload please,buttfixx upload pleas,1,0
keep it up bro you are the best lol,keep bro best lol,2,0
osthir video,osthir video,2,0
osthir video,osthir video,2,0
একটু নেচে গেয়ে আমার মনটা চাঙা করে দাও না,একটু নাচ গায় মন চাঙা দাও না,2,0
bhai jossssssssss,bhai jossssssssss,2,0
vai video osthir but download krte gele hoyna kn,vai video osthir download krte gele hoyna kn,1,0
besi josss d,besi josss,2,0
বাচ্চা হবে না বাচ্চা হবে না বাচ্চা হবে না er chaite dudu ta best hoise,বাচ্চা না বাচ্চা না বাচ্চা না er chait dudu ta best hois,0,0
adnan ahmed khan আমার নাম zunaed,adnan ahm khan zuna,1,0
josss chiloo,josss chiloo,2,0
217 er put your hands up song ta kaar keu bolte parben,er put hand song ta kaar keu bolt parben,1,0
eita best bro gaaaaaaay bole je cartoon tay oitar naam ki,eita best bro gaaaaaaay bole je cartoon tay oitar naam ki,2,0
how you guys do these things so perfectly,guy thing perfectli,2,0
epic ever,epic ever,2,0
waiting for that বাচ্চা হবে না বাচ্চা হবে না,wait বাচ্চা না বাচ্চা না,1,0
65 dislikesbuttfix u got some butthurts its we want more,dislikesbuttfix u got butthurt want,0,0
65 dislikesbuttfix u got some butthurts its we want more,dislikesbuttfix u got butthurt want,0,0
new vdo koi vaiyaa,new vdo koi vaiyaa,1,0
বাচ্চা হবেনা মিস করলাম বাট সেই হইছে,বাচ্চা হবেনা মিস কর বাট হই,2,0
you are a great parodian we want more,great parodian want,2,0
ভাই আপনি থামেনহাসতে হাসতে পেট বেথা হয়ে গেছে,ভাই থামেনহাস হাস পেট বেথা,2,0
ভাই আপনি থামেনহাসতে হাসতে পেট বেথা হয়ে গেছে,ভাই থামেনহাস হাস পেট বেথা,2,0
your best effort up until all of your videos are full of wishes to you and your channel,best effort video full wish channel,2,0
just awesome,awesom,2,0
ha ah ha hah ah,ha ah ha hah ah,2,0
রাহাত ভাই একদম শুরু থেকে আপনার চ্যানেল ফলো করছি আপনি শুধু বাংলাদেশের একমাত্র অরিজিনাল ইউটুবার না এপনি একজন তুখোড় মাল,রাহাত ভাই একদম চ্যানেল ফলো কর বাংলাদেশের একমাত্র অরিজিনাল ইউটুব না এপনি একজন তুখোড় মাল,2,0
hero bappi p,hero bappi p,2,0
হা d,হা,2,0
rahat bhai ek khan jinish,rahat bhai ek khan jinish,2,0
ai chobi gulo ki kore karur bhalo lagte pare comment gulo pore bhabchi ar dhore nilam bhalo lage kintu tara youtube e ki korche p ashadharon chaliye jao,ai chobi gulo ki kore karur bhalo lagt pare comment gulo pore bhabchi ar dhore nilam bhalo lage kintu tara youtub e ki korch p ashadharon chaliy jao,2,0
ai chobi gulo ki kore karur bhalo lagte pare comment gulo pore bhabchi ar dhore nilam bhalo lage kintu tara youtube e ki korche p ashadharon chaliye jao,ai chobi gulo ki kore karur bhalo lagt pare comment gulo pore bhabchi ar dhore nilam bhalo lage kintu tara youtub e ki korch p ashadharon chaliy jao,2,0
jole agun jole re,jole agun jole,1,0
munem shahariar ভাইয়া শিট না চুদাইয়া শাকিব খান এর ছবি নিয়া ট্রল চুদান,munem shahariar ভাইয়া শিট না চুদাইয়া শাকিব খান ছবি নিয়া ট্রল চুদান,0,0
litu khan তোর তো বাচ্চা হবে হবে হবে না,litu khan তোর বাচ্চা না,0,0
too much hats of creator,much hat creator,2,0
funny,funni,2,0
খুবই গবেষণালব্ধ ভিডিও খুবই উপভোগ্য শুভকামনা রইল পরবর্তী কাজের জন্য,খুব গবেষণালব্ধ ভিডি খুব উপভোগ্য শুভকামনা রইল কাজ,2,0
কাচি দিয়া জিপলাইন বানাইছে,কাচি দিয়া জিপলাইন বানাই,1,0
valo laglo,valo laglo,2,0
purie ostir bro u r the best content creator as bangladesh youtuber,puri ostir bro u r best content creator bangladesh youtub,2,0
কি ছিলো এইডা,ছিলো এইডা,0,0
lol at that 2pm song,lol pm song,0,0
you just outdo yourself keep it up xd,outdo keep xd,2,0
the effort you guys give to make this for us to enjoy is unbelievable of it going brother y,effort guy give make us enjoy unbeliev go brother,2,0
the effort you guys give to make this for us to enjoy is unbelievable of it going brother y,effort guy give make us enjoy unbeliev go brother,2,0
xoss lagce aro cai,xoss lagc aro cai,2,0
fatafati osadharon,fatafati osadharon,2,0
631 best,best,2,0
বায়ূচুম্বন,বায়ূচুম্বন,2,0
u made mah mood 3,u made mah mood,2,0
accha jolatonko je trailer ta disilen otar ki hlo,accha jolatonko je trailer ta disilen otar ki hlo,1,0
ki howar kotha,ki howar kotha,1,0
46 ta ora ki expect kortese,ta ora ki expect kortes,0,0
46 ta ora ki expect kortese,ta ora ki expect kortes,0,0
46 ta ora ki expect kortese,ta ora ki expect kortes,1,0
আশা করি ওই সময় টায় সবাই চোখ বন্ধ করে দেখেন তাহলে বুঝতে পারবেন আসলে রহস্য টা কি ছিলো,আশা সময় টায় চোখ বুঝ পার আসলে রহস্য ছিলো,1,0
একের অধিক ব্যাক্তি নেই একজনই আছেন ধন্যবাদ শুভ কামনার জন্য চেষ্টা চলবে,এক ব্যাক্তি একজন আছ ধন্যবাদ শুভ কামন চলবে,2,0
therabi1234 does spelling mistakes a joke jokers of the decade,therabi spell mistak joke joker decad,0,0
tanbin islam siyam lad check out my picture then talk with me i dont laugh at,tanbin islam siyam lad check pictur talk dont laugh,0,0
done i saw a random dude from internet,done saw random dude internet,1,0
josssss bro,josssss bro,2,0
josssss bro,josssss bro,2,0
be more active bro,activ bro,1,0
shams tasnuva the song is by a kpop group called 2pm and the song is called hands up,sham tasnuva song kpop group call pm song call hand,2,0
anyone notice anything xd,anyon notic anyth xd,1,0
do the movie hingsha,movi hingsha,1,0
love this crap gonna make this crap great again,love crap gonna make crap great,2,0
plz vai give us a new video wait,plz vai give us new video wait,1,0
plz vai give us a new video wait,plz vai give us new video wait,1,0
best,best,2,0
216 i laughed my ass off hilarious xd,laugh ass hilari xd,2,0
kalo,kalo,0,0
bro nice,bro nice,2,0
2 good,good,2,0
2 good,good,2,0
your videos are hilarious,video hilari,2,0
i didnt understand the bangali but still i love ur video and die laughing,didnt understand bangali still love ur video die laugh,2,0
পুরাই পিনিক পাইলাম,পুরা পিনিক পাই,2,0
that was really good,realli good,2,0
বরাবরের মতই অসাধার,বরাবর মত অস,2,0
এতো লেট হইলো কেন ভাই,এত লেট হইলো ভাই,0,0
ছিঃএভাবে অপমান নিজের দেশের ক্রিয়েটিভ পিউপিলকেছিঃ,ছিঃএভাবে অপমান দেশের ক্রিয়েটিভ পিউপিলকেছিঃ,0,0
creativity দিয়ে নিজের দেশকে তুলে ধরুনবিশ্বের কাছে পরিচয় করিয়ে দিন দেশকে নতুন ভাবেআর আপনারা কি আসলেই বাংলাদেশেরসন্দেহ হয়,creativ দেশ ধরুনবিশ্ব পরিচয় দেশ ভাবেআর আপনা আসলে বাংলাদেশেরসন্দেহ,0,0
creativity দিয়ে নিজের দেশকে তুলে ধরুনবিশ্বের কাছে পরিচয় করিয়ে দিন দেশকে নতুন ভাবেআর আপনারা কি আসলেই বাংলাদেশেরসন্দেহ হয়,creativ দেশ ধরুনবিশ্ব পরিচয় দেশ ভাবেআর আপনা আসলে বাংলাদেশেরসন্দেহ,0,0
creativity দিয়ে নিজের দেশকে তুলে ধরুনবিশ্বের কাছে পরিচয় করিয়ে দিন দেশকে নতুন ভাবেআর আপনারা কি আসলেই বাংলাদেশেরসন্দেহ হয়,creativ দেশ ধরুনবিশ্ব পরিচয় দেশ ভাবেআর আপনা আসলে বাংলাদেশেরসন্দেহ,0,0
best,best,2,0
stunning,stun,2,0
omg অন্নেক মজা পাইলাম ভাই,omg অন্নেক মজা পাই ভাই,2,0
matha noshto how vai how kmne paren d,matha noshto vai kmne paren,2,0
cinemaal is back aagain,cinema back aagain,1,0
cinemaal is back aagain,cinema back aagain,1,0
yeah buttfixx is back,yeah buttfixx back,0,0
yeah buttfixx is back,yeah buttfixx back,2,0
রাহাত ভাই আপনার এই ইউটিউব লিংকটি bcs এর exam page এ দিয়ে দিলাম এবং title দিলাম,রাহাত ভাই ইউটিউব লিংকটি bc exam page দিল titl দিল,1,0
বিসিএস প্রশ্ন কিভাবে ফাঁস হয় আপনারা নিজেরাই মনোযোগ সহকারে ভিডিও টির শেষ না হওয়া পর্যন্ত দেখেন সবার জন্য বিসিএস এর শুভকামনা রইল,বিসিএস প্রশ্ন ফাঁস আপনা নিজেরা মনোযোগ সহকারে ভিডি টির না হওয়া বিসিএস শুভকামনা রইল,2,0
ভাই আমি আপনাকে আমার এফবি id black hole থেকে add সেন্ড করছি kindly accept করে আমি আপনার একজন ভক্ত ভাল থাকবেন আপনার জন্য শুভ কামনা রইল,ভাই আপনা এফবি id black hole add সেন্ড কর kindli accept একজন ভক্ত শুভ কামনা রইল,2,0
bangla talkies name ki song er,bangla talki name ki song er,1,0
bangla talkies jaihok onek joss hoise suvo noboborso,bangla talki jaihok onek joss hois suvo noboborso,2,0
song name bhayank aatma,song name bhayank aatma,1,0
koi nai to,koi nai,1,0
shesher music tar nam ki,shesher music tar nam ki,1,0
bangla talkies nice video,bangla talki nice video,2,0
vai aita ki muvei thaka copyrights korsan please bolbsan,vai aita ki muvei thaka copyright korsan pleas bolbsan,1,0
bangla talkies apni kon desher ta jos hoise,bangla talki apni kon desher ta jo hois,2,0
bangla talkies coc ta ekta video banan,bangla talki coc ta ekta video banan,1,0
bangla talkies joss video shuvo noboborso,bangla talki joss video shuvo noboborso,2,0
tamim islam same to you too,tamim islam,1,0
plz watch this funny meme,plz watch funni meme,1,0
movie tar name ki,movi tar name ki,1,0
make dub with famous song please,make dub famou song pleas,1,0
bhai last er music ta ki nam ta,bhai last er music ta ki nam ta,1,0
bhai last er music ta ki nam ta,bhai last er music ta ki nam ta,1,0
bhai last er music ta ki nam ta,bhai last er music ta ki nam ta,1,0
like na dia parlamna,like na dia parlamna,2,0
if anyone want special video editing app check out my chanel and subscribe to my chanel,anyon want special video edit app check chanel subscrib chanel,1,0
hey bangla talkis push my chanel up please,hey bangla talki push chanel pleas,1,0
moja paise,moja pais,2,0
moja paise,moja pais,2,0
jos,jo,2,0
jos,jo,2,0
jos,jo,2,0
ভাল লাগে নাই,লাগে,0,0
osthir hoise man you guys are always hit,osthir hois man guy alway hit,2,0
osthir hoise man you guys are always hit,osthir hois man guy alway hit,2,0
dislike dilam,dislik dilam,0,0
dislike dilam,dislik dilam,2,0
cid er r part ki hbee,cid er r part ki hbee,1,0
মুভি টার নাম বলতে পারেন কেউ,মুভি টার,1,0
মুভি টার নাম বলতে পারেন কেউ,মুভি টার,1,0
besi valo lage,besi valo lage,2,0
best,best,2,0
guys plz subscribe to me it will be so kind,guy plz subscrib kind,1,0
vai crime pretrol nie anti video banan,vai crime pretrol nie anti video banan,1,0
accha bro song er name ta ki last e jeita disen,accha bro song er name ta ki last e jeita disen,1,0
smithson,smithson,1,0
hey bro gta 5 and gta san andreas neay dubbing banao please please please please,hey bro gta gta san andrea neay dub banao pleas pleas pleas pleas,1,0
ato video dia ke korba akden to morei jaba,ato video dia ke korba akden morei jaba,1,0
ipl niye ekta video banan,ipl niy ekta video banan,1,0
ipl niye ekta video banan,ipl niy ekta video banan,1,0
ipl niye ekta video banan,ipl niy ekta video banan,1,0
ipl niye ekta video banan,ipl niy ekta video banan,1,0
tomra awesome,tomra awesom,2,0
bro,bro,1,0
মজা পাইছি,মজা পাই,2,0
আমার চুলের ভিডিও হইছে,চুল ভিডি হই,1,0
nich,nich,2,0
joooooooss,joooooooss,2,0
got er part 2 kobe asbe,got er part kobe asb,1,0
got er part 2 kobe asbe,got er part kobe asb,1,0
1day,day,1,0
my name is also and i really loved it,name also realli love,2,0
chechra,chechra,0,0
vai video ta akto halka balo parten apnara luck,vai video ta akto halka balo parten apnara luck,0,0
vai video ta akto halka balo parten apnara luck,vai video ta akto halka balo parten apnara luck,1,0
kala jahangir,kala jahangir,1,0
vai video ta araktu boro hole valo hoto choto hoese dekha boring lagse,vai video ta araktu boro hole valo hoto choto hoes dekha bore lags,0,0
ending ta kmn jono moja pialm nah,end ta kmn jono moja pialm nah,0,0
video ta onk funny hoise,video ta onk funni hois,2,0
video ta onk funny hoise,video ta onk funni hois,2,0
সবাইকে শুভ নবর্বষ কিন্তু আমার জ্ন্য অশুভ নবর্বষ,সবাইকে শুভ নবর্বষ জ্ন্য অশুভ নবর্বষ,0,0
where the song,song,1,0
kindey beche ilish hahahaha,kindey bech ilish hahahaha,0,0
movie tar name ki,movi tar name ki,1,0
outstanding awesome very good,outstand awesom good,2,0
ভালোবাসি আপনাদের,ভালোবাসি আপনা,2,0
vai eta juice chilo eta ruapja,vai eta juic chilo eta ruapja,1,0
kala jahangir nam ta shune bangla vice cityr kotha mone porlo,kala jahangir nam ta shune bangla vice cityr kotha mone porlo,0,0
guns of boom ke ke khelo amr clan ache,gun boom ke ke khelo amr clan ach,1,0
amr channel a ki kno soridoyban bakti jabe,amr channel ki kno soridoyban bakti jabe,1,0
amr channel a ki kno soridoyban bakti jabe,amr channel ki kno soridoyban bakti jabe,1,0
amr channel a ki kno soridoyban bakti jabe,amr channel ki kno soridoyban bakti jabe,1,0
awesome video bro,awesom video bro,2,0
vai tumader video gula vlo lage ar last jei music ta diso ooi tar nam,vai tumad video gula vlo lage ar last jei music ta diso ooi tar nam,2,0
টাকাররে কালা জাহাঙ্গীর,টাকাররে কালা জাহাঙ্গীর,0,0
valo,valo,2,0
movie tar name aktu bolban vhiya,movi tar name aktu bolban vhiya,1,0
awsmmmm bhiiiiii,awsmmmm bhiiiiii,2,0
নাইচ,নাইচ,1,0
bhai music ta,bhai music ta,2,0
hahahha,hahahha,2,0
last er sound track tar name ta ki kau bolte parben,last er sound track tar name ta ki kau bolt parben,1,0
ভালো হইছে ভাই,ভালো হই ভাই,2,0
sadman bhai voice chara video dekte bhallage onek miss korta chi,sadman bhai voic chara video dekt bhallag onek miss korta chi,2,0
sadman bhai voice chara video dekte bhallage onek miss korta chi,sadman bhai voic chara video dekt bhallag onek miss korta chi,2,0
bangla talkies best sonar bangladesh bangla talkies ki sonar bangla karon ami bangla talkies ke valo basi,bangla talki best sonar bangladesh bangla talki ki sonar bangla karon ami bangla talki ke valo basi,2,0
shubho noboborsho,shubho noboborsho,2,0
josss,josss,2,0
bangalee hoe ki hobeek din to morei,bangale hoe ki hobeek din morei,1,0
joxx boss,joxx boss,2,0
jak valoi hoisa,jak valoi hoisa,2,0
vai aita kon movie thake cut cilo plz janaben,vai aita kon movi thake cut cilo plz janaben,1,0
video ending a song tar name ki bolen plz,video end song tar name ki bolen plz,2,0
moment,moment,1,0
কালা জাহাঙ্গীর,কালা জাহাঙ্গীর,2,0
jonny seins নিয়ে একটা ভিড়িও হপ্পে,jonni sein এক ভিড়ি হপ্পে,1,0
vi এর video কি হবে next a,vi video next,1,0
last ar tune song tar name ki,last ar tune song tar name ki,1,0
last ar tune song tar name ki,last ar tune song tar name ki,1,0
bhai movie ter aasol nam ki,bhai movi ter aasol nam ki,1,0
vai laste jei music ta download link ta plz dao,vai last jei music ta download link ta plz dao,1,0
ekhon sadman bhai ke ar video te raken na kn plz answer,ekhon sadman bhai ke ar video te raken na kn plz answer,0,0
yes bangla talkies is a best channel,ye bangla talki best channel,2,0
awesome,awesom,2,0
chorom,chorom,2,0
pohela boishakh hole banglar valentines day,pohela boishakh hole banglar valentin day,0,0
pohela boishakh hole banglar valentines day,pohela boishakh hole banglar valentin day,1,0
movie name ki,movi name ki,1,0
এই ভিডিও টা বাংলা নববর্ষের জন্য একেবারে উপযুক্ত,ভিডি বাংলা নববর্ষ একেবারে উপযুক্ত,2,0
এই ভিডিও টা বাংলা নববর্ষের জন্য একেবারে উপযুক্ত,ভিডি বাংলা নববর্ষ একেবারে উপযুক্ত,2,0
pohela boyshak noy allah er pote cholun,pohela boyshak noy allah er pote cholun,1,0
osamvai,osamvai,2,0
শুভ নববর্ষ ♪ দারুন হয়েছে,শুভ নববর্ষ ♪ দারুন,2,0
rini sikder facebook id ta,rini sikder facebook id ta,1,0
lol it is so funny,lol funni,2,0
vaia ami ajke panta vat ar fried rice duitai khaisi,vaia ami ajk panta vat ar fri rice duitai khaisi,1,0
vaia ami ajke panta vat ar fried rice duitai khaisi,vaia ami ajk panta vat ar fri rice duitai khaisi,1,0
vaia ami ajke panta vat ar fried rice duitai khaisi,vaia ami ajk panta vat ar fri rice duitai khaisi,1,0
ভাই এই মুবির নাম কি,ভাই মুবির,1,0
ভাই এই মুবির নাম কি,ভাই মুবির,1,0
last er music tar keu link dibe,last er music tar keu link dibe,1,0
bnagladesh please correct,bnagladesh pleas correct,2,0
khub valo dada,khub valo dada,2,0
onek mojar,onek mojar,2,0
ছেচরাঁ,ছেচরাঁ,2,0
শুভ নববর্ষ,শুভ নববর্ষ,2,0
agar video gulor moto oto ta jomlo na asa korbo porer video ta abar jano jomjomat hoy,agar video gulor moto oto ta jomlo na asa korbo porer video ta abar jano jomjomat hoy,0,0
তোমার ফেসবুক আইডি টা কি ছেছরা তোমার স্নেপ চেট আইডি টা কি ছেছরা সার্চ দিয়ে দেখলাম তো কিন্তু তোমাকে তো পেলাম না ছেছরা যে বলে সেই হয়,ফেসবুক আইডি ছেছ স্নেপ চেট আইডি ছেছ সার্চ দেখ তোমাকে পেল না ছেছ,2,0
হা হা হা,হা হা হা,2,0
এততো ভাল হয়েছে যে মুখে প্রকাশ করতে,এত মুখে প্রকাশ,2,0
moja পাইলাম,moja পাই,2,0
iron man niya vidio koren plz,iron man niya vidio koren plz,1,0
iron man niya vidio koren plz,iron man niya vidio koren plz,1,0
অনেক ভালো হইসে ভাই,ভালো হইসে ভাই,2,0
বৈশাখ মাসে শীত,বৈশাখ মাসে শীত,0,0
xoss hoice,xoss hoic,2,0
bro background music tar nam,bro background music tar nam,1,0
apnar facebook id ta ki sob che sundor,apnar facebook id ta ki sob che sundor,2,0
lol,lol,0,0
bhayank atma,bhayank atma,0,0
bangladesh banan vul,bangladesh banan vul,1,0
vai joss hoisa pora r jonny bangladeshir video gula osthir,vai joss hoisa pora r jonni bangladeshir video gula osthir,2,0
তুমি কি ৫৫ কোটা,কোটা,0,0
movie ta namamu,movi ta namamu,1,0
joss hoise,joss hois,2,0
yo xoss,yo xoss,2,0
shei holo,shei holo,2,0
haha,haha,2,0
last intro te jei song ta disen oitar link ta dea jabe please,last intro te jei song ta disen oitar link ta dea jabe pleas,1,0
kala jahangir to vice city ar,kala jahangir vice citi ar,1,0
i like it its good,like good,2,0
vai last ar music tar nam ki,vai last ar music tar nam ki,1,0
vai last ar music tar nam ki,vai last ar music tar nam ki,1,0
best dubbing yaar and shuvho noboborsho,best dub yaar shuvho noboborsho,2,0
boishakir binodon,boishakir binodon,1,0
aj phon ta dhorar aga vabsilam bangla talkies jodi pohala boisakh nia akta video banato valoi hoto phon dhora 1st ai dakhi amar caoa puron hoa galo thanks,aj phon ta dhorar aga vabsilam bangla talki jodi pohala boisakh nia akta video banato valoi hoto phon dhora st ai dakhi amar caoa puron hoa galo thank,2,0
xoss chilo vaia,xoss chilo vaia,2,0
xoss chilo vaia,xoss chilo vaia,2,0
ছেছরা,ছেছ,0,0
tumi ki 55 funny,tumi ki funni,1,0
